bweforvideo-googAvailableReceiveBandwidth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bweforvideo-googAvailableSendBandwidth,300000.0,300000.0,5151036.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,5171293.0,300000.0,300000.0,300000.0,300000.0,1709333.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0,5173420.0
bweforvideo-googBucketDelay,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,0.0,2.0,3.0,4.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,4.0,0.0
timestamp,1541196038,1541196039,1541196040,1541196041,1541196042,1541196043,1541196044,1541196045,1541196046,1541196047,1541196048,1541196049,1541196050,1541196051,1541196052,1541196053,1541196054,1541196055,1541196056,1541196057,1541196058,1541196059,1541196060,1541196061,1541196062,1541196063,1541196064,1541196065,1541196066,1541196067,1541196068,1541196069,1541196070,1541196071,1541196072,1541196073,1541196074,1541196075,1541196076,1541196077,1541196078,1541196079,1541196080,1541196081,1541196082,1541196083,1541196084,1541196085,1541196086,1541196087,1541196088,1541196089,1541196090,1541196091,1541196092,1541196093,1541196094,1541196095,1541196096,1541196097,1541196098,1541196099,1541196100,1541196101,1541196102,1541196103,1541196104,1541196105,1541196106,1541196107,1541196108,1541196109,1541196110,1541196111,1541196112,1541196113,1541196114,1541196115,1541196116,1541196117,1541196118,1541196119,1541196120,1541196121,1541196122,1541196123,1541196124,1541196125,1541196126,1541196127,1541196128,1541196129,1541196130,1541196131,1541196132,1541196036,1541196037,1541196038,1541196039,1541196040,1541196041,1541196042,1541196043,1541196044,1541196045,1541196046,1541196047,1541196048,1541196049,1541196050,1541196051,1541196052,1541196053,1541196054,1541196055,1541196056,1541196057,1541196058,1541196059,1541196060,1541196061,1541196062,1541196063,1541196064,1541196065,1541196066,1541196067,1541196068,1541196069,1541196070,1541196071,1541196072,1541196073,1541196074,1541196075,1541196076,1541196077,1541196078,1541196079,1541196080,1541196081,1541196082,1541196083,1541196084,1541196085,1541196086,1541196087,1541196088,1541196089,1541196090,1541196091,1541196092,1541196093,1541196094,1541196095,1541196096,1541196097,1541196098,1541196099,1541196100,1541196101,1541196102,1541196103,1541196104,1541196105,1541196106,1541196107,1541196108,1541196109,1541196110,1541196111,1541196112,1541196113,1541196114,1541196115,1541196116,1541196117,1541196118,1541196119,1541196120,1541196121,1541196122,1541196123,1541196124,1541196125,1541196126,1541196127,1541196128,1541196129,1541196130,1541196131,1541196132
audio_bitsReceivedPerSecond,-1,-1,0.0,1968160.0,2311848.0,2262168.0,2615816.0,2479304.0,2556240.0,2700208.0,2747624.0,2806920.0,2644723.276723277,2613872.0,2627436.5634365636,2568896.896896897,2625096.0,2566830.8308308306,2451560.0,2677474.5254745255,2680272.2722722725,2614566.5665665665,2593238.7612387612,2460896.0,2666914.171656687,2664528.5285285288,2457168.0,2213160.0,2259600.0,2286638.6386386384,2145502.4975024974,2174614.6146146148,2042192.0,2144544.0,2120655.3446553447,2049017.0170170171,2130752.0,2103152.0,2038520.0,2121392.0,2056672.0,2121784.0,2018688.0,2127104.0,2132880.0,2035568.0,2136264.0,1830224.0,2367456.5434565432,2619407.114624506,2436882.5910931174,2641686.3136863136,2651009.98003992,2736608.0,2530941.883767535,2620517.928286853,2539374.749498998,2621799.1967871487,2663306.0817547357,2673555.1102204407,2532624.0,2415322.033898305,2466108.2164328657,2653898.101898102,2518670.6706706705,2630722.5548902196,2663799.3981945836,2554208.0,2739712.0,2707615.230460922,2544710.5788423154,2663592.0,2342078.078078078,2089422.5774225774,2145064.0,2102032.0,2130466.4664664664,2124123.8761238763,2072680.0,2050112.0,2108684.6846846845,2120039.96003996,2039456.5434565435,2161218.4368737475,2057038.961038961,2062848.0,2141981.981981982,2081120.0,2060523.4765234764,2111919.9199199197,2087728.2717282716,2114304.0,2034080.0,2143176.0,2046168.0,-1,-1,-1,-1,0.0,1630711.7296222665,2378923.9332096474,2391731.0195227764,2547696.0,2576816.0,2618128.0,2667868.131868132,2648744.7447447446,2622336.0,2659480.0,2538400.0,2679512.0,2609856.0,2489896.0,2602448.0,2648136.0,2640008.0,2614032.0,2620048.0,2624712.0,2580408.0,2581986.013986014,2552112.1121121123,2644399.2015968063,2641234.4689378757,2657576.0,2518480.0,2635580.4195804195,2601857.857857858,2718464.0,2588888.0,2663536.0,2524392.0,1886984.0,2145672.0,2153912.0,2078656.0,2027160.0,2149672.0,2138736.0,2044440.0,2169472.0,2066224.0,2069538.4615384615,2145721.721721722,2093864.0,2066160.0,2112760.0,2093152.0,2121574.4255744256,2034640.0,2164988.988988989,2029576.0,2090808.0,2136288.0,2100632.0,2069224.0,2098261.7382617383,2097617.617617618,2093272.0,2068995.004995005,2164696.0,2034400.0,2062376.0,2152544.0,2141046.766169154,2055388.944723618,2092728.0,2124052.052052052,2098445.5544455545,2081962.2641509434,2113898.8326848247,2032688.588007737,2118568.914956012,2120387.238723872,2098669.3386773546,2073776.0,2091288.0,2132888.0,2099340.659340659,2065696.0,2141432.0,2022950.9509509508,2156264.0,2080695.3046953047,2083747.7477477477,2077616.0,2091880.0,2115840.0,2100376.0,2104416.0,2161166.833166833
audio_bitsSentPerSecond,-1,-1,0.0,1999112.0,2393792.0,2446024.0,2514272.0,2631304.0,2622168.0,2606536.0,2708608.0,2563480.0,2626157.842157842,2665264.0,2616591.4085914087,2576552.5525525524,2537088.0,2610642.642642643,2652128.0,2576943.056943057,2668628.628628629,2572156.156156156,2607504.4955044957,2688544.0,2475544.9101796406,2609593.5935935937,2623872.0,2634064.0,2642416.0,2533773.7737737736,2638009.99000999,2634730.7307307306,2659696.0,2671920.0,2611420.5794205796,2253437.4374374375,2066368.0,2133376.0,2127568.0,2050464.0,2079472.0,2092912.0,2137944.0,2150160.0,2105096.0,2081800.0,2076224.0,2110144.0,2102449.5504495506,2015612.648221344,2141562.753036437,2084251.7482517483,2119265.469061876,2111504.0,2102420.841683367,2085450.1992031874,2067823.647294589,2133381.5261044176,2091573.2801595214,2048320.6412825652,2112232.0,2065842.4725822532,2148384.769539078,2081734.2657342658,2098394.3943943945,2103017.9640718563,2054732.1965897693,2148432.0,2111736.0,2052809.619238477,2124487.025948104,2092472.0,2134046.046046046,2051988.011988012,2078312.0,2137072.0,2051707.7077077078,2137558.4415584416,2100760.0,2043648.0,2137089.089089089,2079832.1678321678,2138461.5384615385,2012665.3306613227,2133826.173826174,2219064.0,1998830.8308308308,2114256.0,2075708.2917082917,2043827.8278278278,2136479.5204795203,2059992.0,2163888.0,2038080.0,2149928.0,-1,-1,-1,-1,0.0,1568858.846918489,2285410.0185528756,2145301.5184381776,2662856.0,2518808.0,2485608.0,2615696.3036963036,2878502.5025025024,2751488.0,2675672.0,2611984.0,2624904.0,2551680.0,2617304.0,2653672.0,2407600.0,2636120.0,2695872.0,2639120.0,2576248.0,2525872.0,2562701.298701299,2635059.0590590592,2584630.7385229543,2436456.9138276554,2060640.0,2280312.0,2234317.6823176825,2099907.907907908,2120176.0,2154056.0,2018016.0,2087960.0,2124760.0,2101120.0,2077232.0,2080480.0,2112592.0,2060832.0,2087520.0,2136712.0,2036032.0,2074128.0,2095208.7912087913,2095399.3993993993,2069096.0,2491040.0,2563208.0,2537264.0,2738853.146853147,2735512.0,2478158.158158158,2631048.0,2574440.0,2526248.0,2746464.0,2624832.0,2640847.1528471527,2399327.3273273273,2402392.0,2651700.2997002997,2499512.0,2633832.0,2697744.0,2541984.0,2745655.721393035,2670319.59798995,2610736.0,2523883.8838838837,2707508.4915084913,1992675.2730883814,2095906.6147859923,2141988.3945841393,2124426.1974584553,2086662.2662266227,2107663.326653307,2032048.0,2093072.0,2086912.0,2094817.1828171827,2166960.0,2073112.0,2042970.970970971,2134600.0,2064167.8321678322,2098258.2582582585,2070784.0,2080784.0,2108272.0,2109632.0,2109000.0,2118441.5584415584
audio_packetsSentPerSecond,-1,-1,0.0,313.0,360.0,369.0,374.0,382.0,382.0,381.0,388.0,381.0,378.6213786213786,387.0,385.61438561438564,380.38038038038036,377.0,377.3773773773774,384.0,373.6263736263736,390.3903903903904,379.3793793793794,382.61738261738265,387.0,369.2614770459082,380.38038038038036,385.0,385.0,380.0,374.3743743743744,382.61738261738265,387.3873873873874,388.0,388.0,384.61538461538464,341.3413413413413,317.0,329.0,327.0,321.0,322.0,325.0,330.0,334.0,326.0,325.0,324.0,326.0,321.67832167832165,314.2292490118577,332.99595141700405,323.6763236763237,323.3532934131737,332.0,327.6553106212425,319.7211155378486,322.6452905811623,328.31325301204816,320.03988035892326,317.63527054108215,324.0,323.0309072781655,334.6693386773547,326.6733266733267,326.32632632632635,321.3572854291417,316.95085255767304,332.0,322.0,320.64128256513027,329.34131736526945,328.0,331.33133133133134,319.68031968031966,326.0,328.0,325.3253253253253,326.6733266733267,324.0,318.0,329.3293293293293,326.6733266733267,332.6673326673327,314.6292585170341,330.6693306693307,338.0,314.3143143143143,326.0,318.68131868131866,318.3183183183183,329.6703296703297,326.0,332.0,318.0,331.0,-1,-1,-1,-1,0.0,259.4433399602386,346.01113172541744,331.8872017353579,382.0,371.0,366.0,381.6183816183816,413.4134134134134,396.0,390.0,380.0,387.0,381.0,379.0,387.0,357.0,386.0,390.0,385.0,380.0,369.0,376.6233766233766,385.3853853853854,381.2375249500998,360.7214428857715,327.0,348.0,342.65734265734267,329.3293293293293,327.0,331.0,317.0,326.0,332.0,325.0,321.0,326.0,330.0,320.0,324.0,327.0,320.0,328.0,325.6743256743257,321.3213213213213,324.0,371.0,374.0,375.0,398.6013986013986,397.0,371.37137137137137,385.0,372.0,367.0,394.0,383.0,388.61138861138863,360.36036036036035,354.0,382.61738261738265,369.0,384.0,394.0,376.0,400.9950248756219,389.9497487437186,384.0,370.3703703703704,396.6033966033966,312.8103277060576,323.92996108949416,331.72147001934235,326.4907135874878,322.3322332233223,321.64328657314627,323.0,326.0,324.0,327.6723276723277,334.0,323.0,318.3183183183183,328.0,321.67832167832165,321.3213213213213,323.0,325.0,333.0,333.0,328.0,327.6723276723277
audio_googLocalAddress,-1,-1,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,10.164.0.9:33750,-1,-1,-1,-1,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479,10.164.0.8:53479
