bweforvideo-googAvailableReceiveBandwidth,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bweforvideo-googAvailableSendBandwidth,5646675.0,5646675.0,5646675.0,5646675.0,5646675.0,5646675.0,5646675.0
bweforvideo-googBucketDelay,0.0,0.0,2.0,1.0,3.0,2.0,2.0
timestamp,1541204903,1541204904,1541204905,1541204906,1541204907,1541204908,1541204909
audio_bitsReceivedPerSecond,474637.72954924876,498183.67346938775,446080.0,409656.0,433016.0,430496.0,453920.0
audio_bitsSentPerSecond,1706811.3522537563,1760510.2040816327,1543456.0,1586704.0,1584664.0,1685952.0,1436656.0
audio_packetsSentPerSecond,346.4106844741235,357.14285714285717,331.0,341.0,340.0,353.0,320.0
audio_googLocalAddress,35.204.137.161:37963,35.204.137.161:37963,35.204.137.161:37963,35.204.137.161:37963,35.204.137.161:37963,35.204.137.161:37963,35.204.137.161:37963
audio_googRemoteAddress,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000
audio_googRtt,15.0,15.0,15.0,15.0,15.0,15.0,15.0
audio_send_bitsSentPerSecond,14143.572621035059,17948.979591836734,16720.0,16720.0,16720.0,16720.0,16720.0
audio_send_packetsLost,0.0,0.0,0.0,0.0,0.0,0.0,0.0
audio_send_packetsSentPerSecond,49.248747913188645,49.744897959183675,50.0,50.0,50.0,50.0,50.0
audio_send_googJitterReceived,98.0,98.0,99.0,99.0,99.0,99.0,99.0
audio_send_googRtt,19.0,19.0,16.0,16.0,16.0,16.0,16.0
video_send_bitsSentPerSecond,1675472.4540901503,1711836.7346938776,1503416.0,1548952.0,1544896.0,1647464.0,1397864.0
video_send_packetsLost,0.0,0.0,0.0,0.0,0.0,0.0,0.0
video_send_packetsSentPerSecond,268.7813021702838,274.234693877551,251.0,262.0,261.0,272.0,242.0
video_send_googEncodeUsagePercent,64.0,64.0,59.0,56.0,54.0,51.0,49.0
video_send_googFrameHeightSent,540.0,540.0,540.0,540.0,540.0,540.0,540.0
video_send_googFrameRateSent,61.0,61.0,61.0,61.0,61.0,61.0,61.0
video_send_googFrameWidthSent,960.0,960.0,960.0,960.0,960.0,960.0,960.0
video_send_googRtt,17.0,17.0,17.0,17.0,17.0,17.0,17.0
audio_recv_bitsReceivedPerSecond,26664.440734557596,26020.408163265307,26328.0,18112.0,18328.0,25960.0,26088.0
audio_recv_packetsReceivedPerSecond,50.08347245409015,49.744897959183675,50.0,33.0,33.0,50.0,50.0
audio_recv_googCurrentDelayMs,329.0,330.0,331.0,273.0,226.0,242.0,333.0
audio_recv_googJitterBufferMs,323.0,323.0,323.0,60.0,65.0,167.0,281.0
audio_recv_googJitterReceived,2.0,2.0,2.0,2.0,2.0,2.0,2.0
audio_recv_googPreferredJitterBufferMs,420.0,420.0,420.0,420.0,400.0,400.0,400.0
video_recv_bitsReceivedPerSecond,432207.0116861436,442948.97959183675,399728.0,370640.0,396824.0,382304.0,409104.0
video_recv_packetsReceivedPerSecond,71.78631051752922,71.42857142857143,69.0,65.0,71.0,69.0,70.0
video_recv_googCurrentDelayMs,68.0,68.0,68.0,68.0,67.0,66.0,64.0
video_recv_googDecodeMs,1.0,1.0,1.0,1.0,2.0,1.0,1.0
video_recv_googFrameHeightReceived,270.0,270.0,270.0,270.0,270.0,270.0,270.0
video_recv_googFrameRateOutput,54.0,61.0,61.0,60.0,61.0,60.0,60.0
video_recv_googFrameRateReceived,58.0,60.0,60.0,60.0,60.0,60.0,60.0
video_recv_googFrameWidthReceived,480.0,480.0,480.0,480.0,480.0,480.0,480.0
video_recv_googInterframeDelayMax,49.0,18.0,18.0,18.0,18.0,21.0,18.0
video_recv_googJitterBufferMs,54.0,54.0,54.0,54.0,53.0,52.0,52.0
video_recv_googPlisSent,0.0,0.0,0.0,0.0,0.0,0.0,0.0
video_send_resolutionChangesSent,0,0,0,0,0,0,0
video_recv_resolutionChangesReceived,1,1,1,1,1,1,1
1_way_delay_audio_send,9.5,9.5,8.0,8.0,8.0,8.0,8.0
1_way_delay_video_send,8.5,8.5,8.5,8.5,8.5,8.5,8.5
ear_ear_delay_audio_send,12.5,18.5,20.0,10.0,14.0,17.0,10.0
audio_recv_kbitsReceivedPerSecond,26,25,25,17,17,25,25
video_recv_kbitsReceivedPerSecond,422,432,390,361,387,373,399
audio_packet_loss_percentage_send,0.0,0.0,0.0,0.0,0.0,0.0
e_model_audio_send,93.9,93.756,93.72,93.96000000000001,93.864,93.792
kpi_audio_synchronization,4.422423067,4.419788281943489,4.419124080064001,4.423510474048,4.4217676780241915,4.420450283536384
eye_eye_delay_video_send,44.5,45.5,45.5,45.5,45.5,45.5,45.5
kpi_video_synchronization,5,5,5,5,5,5,5
av_delay_send,-32.0,-27.0,-25.5,-35.5,-31.5,-28.5,-35.5
kpi_av_synchronization,5,5,5,5,5,5,5
kpi_resolution_stability,4.303535113616246,4.303535113616246,4.303535113616246,4.303535113616246,4.303535113616246,4.303535113616246,4.303535113616246
max_resolution_percentage,100.0,100.0,100.0,100.0,100.0,100.0,100.0
kpi_resolution_stability_norm,4.303535113616246,4.303535113616246,4.303535113616246,4.303535113616246,4.303535113616246,4.303535113616246,4.303535113616246
max_resolution_percentage_norm,100.0,100.0,100.0,100.0,100.0,100.0,100.0
kpi_fps_stability,5,5,5,5,5,5,5
kpi_q_audio,4,4,4,3,3,4,4
kpi_q_video,2.8499999999999996,2.8999999999999995,2.6999999999999997,2.55,2.6999999999999997,2.5999999999999996,2.75
qoe_simple_normal,3.9108247852222227,3.9188653646603875,3.8854582311182218,3.860945608227556,3.8857519642249105,3.8689389203929316
qoe_simple_smooth,4.052491451888889,4.068865364660387,4.0021248977848884,3.9526122748942227,4.002418630891577,3.9689389203929313
